pid,stake,wins,win_rate
node_0,132.25762009447524,1,0.01
node_1,168.91281614229098,0,0.0
node_2,140.96220115184826,0,0.0
node_3,113.17677539193906,1,0.01
node_4,163.1864068081274,1,0.01
node_5,120.66974900781125,0,0.0
node_6,168.29566317123835,5,0.05
node_7,213.6154372818862,2,0.02
node_8,182.83858871576086,5,0.05
node_9,101.68886164469207,1,0.01
node_10,195.25976410017566,1,0.01
node_11,163.63040608284365,0,0.0
node_12,112.33608792254164,2,0.02
node_13,576.1737536571194,10,0.1
node_14,2507.318157775872,22,0.22
node_15,182.80844019752632,3,0.03
node_16,134.99457755067226,0,0.0
node_17,349.07291511379293,3,0.03
node_18,281.38449773012985,5,0.05
node_19,131.00175524524914,1,0.01
node_20,104.20539840068106,0,0.0
node_21,112.18601500418586,1,0.01
node_22,206.83774848302562,1,0.01
node_23,113.81363857366983,2,0.02
node_24,106.56699777915995,0,0.0
node_25,202.28264286715785,0,0.0
node_26,161.6927569109536,3,0.03
node_27,186.64125561523846,1,0.01
node_28,111.85041976948243,1,0.01
node_29,139.96877811202754,1,0.01
node_30,278.23315459354126,1,0.01
node_31,115.10181598986924,1,0.01
node_32,427.6073194296368,2,0.02
node_33,156.62464245183534,3,0.03
node_34,132.61599847616844,2,0.02
node_35,113.84059517085745,0,0.0
node_36,106.53852282118692,0,0.0
node_37,113.09046751449765,1,0.01
node_38,103.15523298927715,1,0.01
node_39,113.74563081576648,0,0.0
node_40,253.77174975587428,0,0.0
node_41,333.19710568963967,1,0.01
node_42,226.17407042150978,2,0.02
node_43,135.5063429097048,1,0.01
node_44,256.05793184314723,3,0.03
node_45,140.4756840810301,2,0.02
node_46,257.4754142616069,4,0.04
node_47,140.8265875873312,0,0.0
node_48,207.13985381603433,2,0.02
node_49,116.10910412713923,1,0.01
